REC1001|BK003|RD002|01/05/2026|15/05/2026|14/05/2026|returned|0|0
REC1002|BK004|RD004|01/05/2026|15/05/2026|15/05/2026|returned|0|0
REC1003|BK006|RD006|02/05/2026|16/05/2026|18/05/2026|overdue|10000|2
REC1004|BK008|RD007|03/05/2026|17/05/2026|15/05/2026|returned|0|0
REC1005|BK011|RD009|04/05/2026|18/05/2026|20/05/2026|overdue|10000|2
REC1006|BK013|RD011|05/05/2026|19/05/2026|19/05/2026|returned|0|0
REC1007|BK015|RD012|06/05/2026|20/05/2026|25/5/2026|returned|25000|5
REC1008|BK018|RD013|07/05/2026|21/05/2026|20/05/2026|returned|0|0
REC1009|BK022|RD014|08/05/2026|22/05/2026|22/05/2026|returned|0|0
REC1010|BK026|RD016|09/05/2026|23/05/2026|22/05/2026|returned|0|0
REC1011|BK028|RD017|10/05/2026|24/05/2026|24/05/2026|returned|0|0
REC1012|BK031|RD018|11/05/2026|25/05/2026|30/05/2026|overdue|25000|5
REC1013|BK033|RD019|12/05/2026|26/05/2026|26/05/2026|returned|0|0
REC1014|BK036|RD021|13/05/2026|27/05/2026|25/05/2026|returned|0|0
REC1015|BK039|RD022|14/05/2026|28/05/2026|28/05/2026|returned|0|0
REC1016|BK041|RD023|15/05/2026|29/05/2026|29/05/2026|returned|0|0
REC1017|BK043|RD024|16/05/2026|30/05/2026|02/06/2026|overdue|15000|3
REC1018|BK046|RD026|17/05/2026|31/05/2026|31/05/2026|returned|0|0
REC1019|BK048|RD027|18/05/2026|01/06/2026|01/06/2026|returned|0|0
REC1020|BK050|RD028|19/05/2026|02/06/2026|01/06/2026|returned|0|0
REC1021|BK001|RD001|01/06/2026|15/06/2026||borrowing|0|0
REC1022|BK002|RD003|02/06/2026|16/06/2026||borrowing|0|0
REC1023|BK005|RD005|05/06/2026|19/06/2026||borrowing|0|0
REC1024|BK021|RD005|05/06/2026|19/06/2026||borrowing|0|0
REC1025|BK010|RD010|08/06/2026|22/06/2026||borrowing|0|0
REC1026|BK012|RD015|10/06/2026|24/06/2026||borrowing|0|0
REC1027|BK020|RD020|11/06/2026|25/06/2026||borrowing|0|0
REC1028|BK025|RD025|12/06/2026|26/06/2026||borrowing|0|0
REC1029|BK030|RD030|13/06/2026|27/06/2026||borrowing|0|0
REC1030|BK035|RD035|14/06/2026|28/06/2026||borrowing|0|0
REC1031|BK031|RD005|15/6/2026|15/8/2026||borrowing|0|0
